Region,Country/Area,Year,Series,Value,Footnotes,Source
3,North America,2015,Primary energy production (petajoules),"115,100",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
3,North America,2017,Primary energy production (petajoules),"114,426",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
3,North America,2018,Primary energy production (petajoules),"122,107",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
3,North America,2019,Primary energy production (petajoules),"127,876",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
3,North America,1995,Net imports [Imports - Exports - Bunkers] (petajoules),"9,245",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
3,North America,2000,Net imports [Imports - Exports - Bunkers] (petajoules),"15,882",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
3,North America,2005,Net imports [Imports - Exports - Bunkers] (petajoules),"20,411",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
3,North America,2010,Net imports [Imports - Exports - Bunkers] (petajoules),"13,038",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
3,North America,2015,Net imports [Imports - Exports - Bunkers] (petajoules),"1,788",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
3,North America,2017,Net imports [Imports - Exports - Bunkers] (petajoules),"-2,002",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
3,North America,2018,Net imports [Imports - Exports - Bunkers] (petajoules),"-5,941",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
3,North America,2019,Net imports [Imports - Exports - Bunkers] (petajoules),"-10,172",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
3,North America,1995,Changes in stocks (petajoules),-918,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
3,North America,2000,Changes in stocks (petajoules),"-2,231",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
3,North America,2005,Changes in stocks (petajoules),-142,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
3,North America,2010,Changes in stocks (petajoules),-610,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
3,North America,2015,Changes in stocks (petajoules),"2,163",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
3,North America,2017,Changes in stocks (petajoules),"-1,530",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
3,North America,2018,Changes in stocks (petajoules),-853,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
3,North America,2019,Changes in stocks (petajoules),984,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
3,North America,1995,Total supply (petajoules),"104,100",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
3,North America,2000,Total supply (petajoules),"114,840",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
3,North America,2005,Total supply (petajoules),"119,325",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
3,North America,2010,Total supply (petajoules),"114,857",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
3,North America,2015,Total supply (petajoules),"114,724",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
