T10,Public Expenditure on Education (2021),,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
660,Anguilla,2008,Capital expenditure as % of total expenditure in public institutions (%),20.8,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
660,Anguilla,2008,Public expenditure on education (% of GDP),2.8,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
660,Anguilla,2010,Basic access to computers by level of education: Lower secondary,100,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
660,Anguilla,2010,Basic access to computers by level of education: Upper secondary,100,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
660,Anguilla,2015,Public expenditure on education (% of GDP),3.0,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
660,Anguilla,2018,Public expenditure on education (% of GDP),3.6,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
660,Anguilla,2019,Basic access to computers by level of education: Primary,100.0,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
660,Anguilla,2019,Basic access to computers by level of education: Lower secondary,100,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
660,Anguilla,2019,Basic access to computers by level of education: Upper secondary,100,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
28,Antigua and Barbuda,2002,Public expenditure on education (% of GDP),3.4,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
28,Antigua and Barbuda,2009,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),21.6,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
28,Antigua and Barbuda,2009,All staff compensation as % of total expenditure in public institutions (%),73.2,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
28,Antigua and Barbuda,2009,Capital expenditure as % of total expenditure in public institutions (%),5.2,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
28,Antigua and Barbuda,2009,Public expenditure on education (% of GDP),2.5,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
28,Antigua and Barbuda,2018,Basic access to computers by level of education: Primary,90.0,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
28,Antigua and Barbuda,2018,Basic access to computers by level of education: Lower secondary,100,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
28,Antigua and Barbuda,2018,Basic access to computers by level of education: Upper secondary,100,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
28,Antigua and Barbuda,2018,Public expenditure on education (% of GDP),2.6,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
28,Antigua and Barbuda,2020,Public expenditure on education (% of GDP),3.3,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
32,Argentina,2005,Public expenditure on education (% of GDP),3.9,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
32,Argentina,2009,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),9.4,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
32,Argentina,2009,All staff compensation as % of total expenditure in public institutions (%),86.6,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
32,Argentina,2009,Capital expenditure as % of total expenditure in public institutions (%),4.0,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
32,Argentina,2009,Basic access to computers by level of education: Primary,37.8,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
32,Argentina,2009,Basic access to computers by level of education: Lower secondary,54,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
32,Argentina,2009,Basic access to computers by level of education: Upper secondary,77,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
32,Argentina,2009,Public expenditure on education (% of GDP),5.5,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
32,Argentina,2010,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),9.9,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
32,Argentina,2010,All staff compensation as % of total expenditure in public institutions (%),85.9,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
32,Argentina,2010,Capital expenditure as % of total expenditure in public institutions (%),4.2,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
32,Argentina,2010,Public expenditure on education (% of GDP),5.0,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
32,Argentina,2015,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),7.2,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
32,Argentina,2015,All staff compensation as % of total expenditure in public institutions (%),82.0,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
32,Argentina,2015,Capital expenditure as % of total expenditure in public institutions (%),10.8,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
32,Argentina,2015,Basic access to computers by level of education: Primary,58.7,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
32,Argentina,2015,Basic access to computers by level of education: Lower secondary,72,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
32,Argentina,2015,Basic access to computers by level of education: Upper secondary,75,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
32,Argentina,2015,Public expenditure on education (% of GDP),5.8,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
32,Argentina,2019,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),16.6,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
32,Argentina,2019,All staff compensation as % of total expenditure in public institutions (%),81.6,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
32,Argentina,2019,Capital expenditure as % of total expenditure in public institutions (%),1.8,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
32,Argentina,2019,Basic access to computers by level of education: Primary,66.3,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
32,Argentina,2019,Basic access to computers by level of education: Lower secondary,55,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
32,Argentina,2019,Basic access to computers by level of education: Upper secondary,59,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
32,Argentina,2019,Public expenditure on education (% of GDP),4.8,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
51,Armenia,2005,Public expenditure on education (% of GDP),2.7,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
51,Armenia,2010,Public expenditure on education (% of GDP),3.2,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
51,Armenia,2014,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),8.5,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
